"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","75","0"
"BZN|ES","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","75","15"
"BZN|ES","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","75","5"
"BZN|ES","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","75","5"
"BZN|ES","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","75","5"
"BZN|ES","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","75","5"
"BZN|ES","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","75","5"
"BZN|ES","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","75","5"
"BZN|ES","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","144","88"
"BZN|ES","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","2024","1620"
"BZN|ES","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","5220","4216"
"BZN|ES","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","7033","5885"
"BZN|ES","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","7564","6655"
"BZN|ES","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","7514","6915"
"BZN|ES","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","7338","6868"
"BZN|ES","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","6789","6554"
"BZN|ES","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","4763","4749"
"BZN|ES","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","1679","1651"
"BZN|ES","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","270","167"
"BZN|ES","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","145","64"
"BZN|ES","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","129","64"
"BZN|ES","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","78","63"
"BZN|ES","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","49","45"
"BZN|ES","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","14","40"
"BZN|ES","03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST)","40","9"
"BZN|ES","03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST)","40","9"
"BZN|ES","03.01.2022 02:00 - 03.01.2022 03:00 (CET/CEST)","40","9"
"BZN|ES","03.01.2022 03:00 - 03.01.2022 04:00 (CET/CEST)","40","9"
"BZN|ES","03.01.2022 04:00 - 03.01.2022 05:00 (CET/CEST)","40","9"
"BZN|ES","03.01.2022 05:00 - 03.01.2022 06:00 (CET/CEST)","40","9"
"BZN|ES","03.01.2022 06:00 - 03.01.2022 07:00 (CET/CEST)","40","10"
"BZN|ES","03.01.2022 07:00 - 03.01.2022 08:00 (CET/CEST)","40","13"
"BZN|ES","03.01.2022 08:00 - 03.01.2022 09:00 (CET/CEST)","111","83"
"BZN|ES","03.01.2022 09:00 - 03.01.2022 10:00 (CET/CEST)","1863","1388"
"BZN|ES","03.01.2022 10:00 - 03.01.2022 11:00 (CET/CEST)","5024","3789"
"BZN|ES","03.01.2022 11:00 - 03.01.2022 12:00 (CET/CEST)","6780","4623"
"BZN|ES","03.01.2022 12:00 - 03.01.2022 13:00 (CET/CEST)","7405","4475"
"BZN|ES","03.01.2022 13:00 - 03.01.2022 14:00 (CET/CEST)","7557","4093"
"BZN|ES","03.01.2022 14:00 - 03.01.2022 15:00 (CET/CEST)","7652","3683"
"BZN|ES","03.01.2022 15:00 - 03.01.2022 16:00 (CET/CEST)","7379","2986"
"BZN|ES","03.01.2022 16:00 - 03.01.2022 17:00 (CET/CEST)","5393","1860"
"BZN|ES","03.01.2022 17:00 - 03.01.2022 18:00 (CET/CEST)","1789","594"
"BZN|ES","03.01.2022 18:00 - 03.01.2022 19:00 (CET/CEST)","186","23"
"BZN|ES","03.01.2022 19:00 - 03.01.2022 20:00 (CET/CEST)","77","14"
"BZN|ES","03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST)","70","14"
"BZN|ES","03.01.2022 21:00 - 03.01.2022 22:00 (CET/CEST)","53","14"
"BZN|ES","03.01.2022 22:00 - 03.01.2022 23:00 (CET/CEST)","25","13"
"BZN|ES","03.01.2022 23:00 - 04.01.2022 00:00 (CET/CEST)","10","13"
"BZN|ES","05.01.2022 00:00 - 05.01.2022 01:00 (CET/CEST)","13","4"
"BZN|ES","05.01.2022 01:00 - 05.01.2022 02:00 (CET/CEST)","13","4"
"BZN|ES","05.01.2022 02:00 - 05.01.2022 03:00 (CET/CEST)","13","4"
"BZN|ES","05.01.2022 03:00 - 05.01.2022 04:00 (CET/CEST)","13","4"
"BZN|ES","05.01.2022 04:00 - 05.01.2022 05:00 (CET/CEST)","13","4"
"BZN|ES","05.01.2022 05:00 - 05.01.2022 06:00 (CET/CEST)","13","4"
"BZN|ES","05.01.2022 06:00 - 05.01.2022 07:00 (CET/CEST)","13","4"
"BZN|ES","05.01.2022 07:00 - 05.01.2022 08:00 (CET/CEST)","13","6"
"BZN|ES","05.01.2022 08:00 - 05.01.2022 09:00 (CET/CEST)","70","76"
"BZN|ES","05.01.2022 09:00 - 05.01.2022 10:00 (CET/CEST)","1485","2117"
"BZN|ES","05.01.2022 10:00 - 05.01.2022 11:00 (CET/CEST)","4022","5637"
"BZN|ES","05.01.2022 11:00 - 05.01.2022 12:00 (CET/CEST)","5430","7157"
"BZN|ES","05.01.2022 12:00 - 05.01.2022 13:00 (CET/CEST)","6064","7681"
"BZN|ES","05.01.2022 13:00 - 05.01.2022 14:00 (CET/CEST)","5988","7851"
"BZN|ES","05.01.2022 14:00 - 05.01.2022 15:00 (CET/CEST)","5325","8262"
"BZN|ES","05.01.2022 15:00 - 05.01.2022 16:00 (CET/CEST)","3979","8145"
"BZN|ES","05.01.2022 16:00 - 05.01.2022 17:00 (CET/CEST)","2260","6336"
"BZN|ES","05.01.2022 17:00 - 05.01.2022 18:00 (CET/CEST)","654","2474"
"BZN|ES","05.01.2022 18:00 - 05.01.2022 19:00 (CET/CEST)","59","501"
"BZN|ES","05.01.2022 19:00 - 05.01.2022 20:00 (CET/CEST)","18","290"
"BZN|ES","05.01.2022 20:00 - 05.01.2022 21:00 (CET/CEST)","14","266"
"BZN|ES","05.01.2022 21:00 - 05.01.2022 22:00 (CET/CEST)","14","248"
"BZN|ES","05.01.2022 22:00 - 05.01.2022 23:00 (CET/CEST)","12","35"
