"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","01.01.2024 00:00 - 01.01.2024 00:15 (CET/CEST)","28","60"
"BZN|ES","01.01.2024 00:15 - 01.01.2024 00:30 (CET/CEST)","28","60"
"BZN|ES","01.01.2024 00:30 - 01.01.2024 00:45 (CET/CEST)","28","60"
"BZN|ES","01.01.2024 00:45 - 01.01.2024 01:00 (CET/CEST)","28","60"
"BZN|ES","01.01.2024 01:00 - 01.01.2024 01:15 (CET/CEST)","28","60"
"BZN|ES","01.01.2024 01:15 - 01.01.2024 01:30 (CET/CEST)","28","60"
"BZN|ES","01.01.2024 01:30 - 01.01.2024 01:45 (CET/CEST)","28","60"
"BZN|ES","01.01.2024 01:45 - 01.01.2024 02:00 (CET/CEST)","28","56"
"BZN|ES","01.01.2024 02:00 - 01.01.2024 02:15 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 02:15 - 01.01.2024 02:30 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 02:30 - 01.01.2024 02:45 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 02:45 - 01.01.2024 03:00 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 03:00 - 01.01.2024 03:15 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 03:15 - 01.01.2024 03:30 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 03:30 - 01.01.2024 03:45 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 03:45 - 01.01.2024 04:00 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 04:00 - 01.01.2024 04:15 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 04:15 - 01.01.2024 04:30 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 04:30 - 01.01.2024 04:45 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 04:45 - 01.01.2024 05:00 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 05:00 - 01.01.2024 05:15 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 05:15 - 01.01.2024 05:30 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 05:30 - 01.01.2024 05:45 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 05:45 - 01.01.2024 06:00 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 06:00 - 01.01.2024 06:15 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 06:15 - 01.01.2024 06:30 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 06:30 - 01.01.2024 06:45 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 06:45 - 01.01.2024 07:00 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 07:00 - 01.01.2024 07:15 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 07:15 - 01.01.2024 07:30 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 07:30 - 01.01.2024 07:45 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 07:45 - 01.01.2024 08:00 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 08:00 - 01.01.2024 08:15 (CET/CEST)","28","28"
"BZN|ES","01.01.2024 08:15 - 01.01.2024 08:30 (CET/CEST)","32","36"
"BZN|ES","01.01.2024 08:30 - 01.01.2024 08:45 (CET/CEST)","32","40"
"BZN|ES","01.01.2024 08:45 - 01.01.2024 09:00 (CET/CEST)","44","120"
"BZN|ES","01.01.2024 09:00 - 01.01.2024 09:15 (CET/CEST)","100","348"
"BZN|ES","01.01.2024 09:15 - 01.01.2024 09:30 (CET/CEST)","320","760"
"BZN|ES","01.01.2024 09:30 - 01.01.2024 09:45 (CET/CEST)","764","1472"
"BZN|ES","01.01.2024 09:45 - 01.01.2024 10:00 (CET/CEST)","1444","2440"
"BZN|ES","01.01.2024 10:00 - 01.01.2024 10:15 (CET/CEST)","2208","3328"
