TIMESTAMP,W_10uheightAboveGround_10,W_10vheightAboveGround_10,W_2rheightAboveGround_2,W_2shheightAboveGround_2,W_2theightAboveGround_2,W_SUNSDsurface_0,W_aptmpheightAboveGround_2,W_dlwrfsurface_0,W_dswrfsurface_0,W_gustsurface_0,W_msletmeanSea_0,W_presheightAboveGround_80,W_pwatatmosphereSingleLayer_0,W_qheightAboveGround_80,W_spsurface_0,W_tccatmosphere_0,W_theightAboveGround_80,W_tmaxheightAboveGround_2,W_tminheightAboveGround_2,W_tozneatmosphereSingleLayer_0,W_tpsurface_0,W_tsurface_0,W_uheightAboveGround_80,W_vheightAboveGround_80,SG_TOTAL_KWH_ENERGIA,GI_TOTAL_KWH_ENERGIA
2023-07-24 11:00:00,4.665589566065937e-09,2.1855049639896986e-09,1.3650618283164438e-08,3.6031703976410474e-12,2.3624823412383525e-07,1.4090428460561519e-05,2.351100829432643e-07,2.501353999653572e-07,4.4632436750922514e-07,5.866172432130566e-09,7.903462050575466e-05,7.295936671413504e-05,9.67555109014662e-09,3.4695592881969106e-12,7.362380222801139e-05,2.541218806417179e-09,2.3410939136270772e-07,2.362842906165959e-07,2.2921434640770934e-07,2.542979277332651e-07,0.0,2.474307561812002e-07,5.333842669773031e-09,2.2658967981327246e-09,,506.01263427734375
2023-07-24 12:00:00,4.938431900629752e-09,2.771714486382942e-09,1.3531872967480308e-08,3.820397655946247e-12,2.371825381318103e-07,1.690851415267382e-05,2.357676358544854e-07,2.531983479251881e-07,4.976725976734194e-07,6.530921803102047e-09,7.896636137305925e-05,7.291922709188845e-05,1.0549557807505023e-08,3.6903972039108095e-12,7.358136574859802e-05,2.843014594793725e-09,2.3496769592698735e-07,2.3723783925816235e-07,2.2921434640770934e-07,2.5503787785716596e-07,0.0,2.488757852194253e-07,5.708618973526719e-09,2.9039480197320265e-09,115.66000000000348,456.5514526367187
2023-07-24 13:00:00,5.392882025933906e-09,2.958613856145852e-09,1.3445876910451856e-08,4.061002009125648e-12,2.3810121555682936e-07,2.818085692112304e-06,2.3650118111860105e-07,2.7560056025788143e-07,7.675623042448501e-07,6.965488320778388e-09,7.88948589086299e-05,7.287294661756887e-05,1.1868327863453739e-08,3.926626236514724e-12,7.353122956393276e-05,3.125485775501389e-08,2.3582973201758048e-07,2.3807983516132974e-07,2.3721101297862638e-07,2.553476484194873e-07,0.0,2.492625028593658e-07,6.314422289156458e-09,3.1394773523740605e-09,129.98000000001048,395.318603515625
2023-07-24 14:00:00,6.1713558723699114e-09,2.814298971456366e-09,1.338325801968564e-08,4.239048240202446e-12,2.3872941534760397e-07,5.636171384224608e-06,2.3706192389907316e-07,2.789080612920031e-07,7.498946331921655e-07,7.724058307009522e-09,7.883992850288151e-05,7.283265078353524e-05,1.3330564551740975e-08,4.098641440910701e-12,7.34890986015433e-05,9.298668801960001e-09,2.3653615493189178e-07,2.387396546079513e-07,2.3721101297862638e-07,2.559348431144027e-07,0.0,2.485841899307885e-07,7.2798739645474625e-09,3.0303833883608697e-09,134.34999999997672,330.052978515625
2023-07-24 15:00:00,6.4464883127630896e-09,3.00760321102675e-09,1.3663489356389548e-08,4.452214777541311e-12,2.3910541336363576e-07,8.45425707633691e-06,2.374703780031305e-07,2.812250874415948e-07,7.188518558741849e-07,8.209819731688443e-09,7.87806010308396e-05,7.278452172844959e-05,1.45018598865924e-08,4.317686476223092e-12,7.343889858440701e-05,5.200029675426178e-08,2.371651200509085e-07,2.391334297974526e-07,2.3721101297862638e-07,2.587872266818737e-07,0.0,2.473158042703602e-07,7.617129932757098e-09,3.355642481488035e-09,133.90000000002328,183.1466064453125
2023-07-24 16:00:00,7.121929369325615e-09,3.08767287321327e-09,1.4704155412876258e-08,4.766346814328877e-12,2.390803963236228e-07,1.1272342768449215e-05,2.3743454127531505e-07,2.8475226511699274e-07,6.679071129222305e-07,8.148533543926977e-09,7.874082549474933e-05,7.274737128321472e-05,1.5088886477449004e-08,4.6415029583080765e-12,7.340061732540212e-05,7.321045296416501e-08,2.3734368009916902e-07,2.3920394116120405e-07,2.3723124521242864e-07,2.6046266050447753e-07,0.0,2.4463629284953926e-07,8.61526297326e-09,3.435488560511554e-09,126.92999999999302,234.3086853027344
2023-07-24 17:00:00,7.536044567835255e-09,2.969942507462965e-09,1.559609199897537e-08,4.839118178935498e-12,2.384760455663936e-07,1.4090428460561519e-05,2.3689949582923875e-07,2.871006909917108e-07,6.081080151748405e-07,7.952644873570634e-09,7.874129522869045e-05,7.2741440305368e-05,1.5214281635681127e-08,4.735222423708402e-12,7.33950563835101e-05,7.189916942736396e-09,2.3717908711393936e-07,2.3920394116120405e-07,2.3725086736218941e-07,2.635696605182754e-07,0.0,2.4153626657280983e-07,9.320264734239745e-09,3.3116557477712164e-09,121.22000000000116,244.311279296875
2023-07-24 18:00:00,6.699772790063105e-09,-2.44436344298754e-10,1.6203296641506244e-08,4.83816794829348e-12,2.3794064982568202e-07,1.690851415267382e-05,2.3644009853091785e-07,2.8704358196492874e-07,5.487495327015481e-07,6.978643742129867e-09,7.878189986010035e-05,7.276586733109486e-05,1.672723052657251e-08,4.742339765322996e-12,7.342140537798376e-05,4.438184439863174e-08,2.3694657392226644e-07,2.3920394116120405e-07,2.372008205674867e-07,2.6399001932226796e-07,0.0,2.39334788689014e-07,8.277199561787397e-09,-7.991995937396474e-10,91.33999999999652,227.85313415527344
2023-07-24 19:00:00,4.630055815666788e-09,-1.8257314958475563e-09,1.6632714382573345e-08,4.549098020130667e-12,2.3670662774368222e-07,2.811351743380157e-06,2.3552741519643383e-07,3.0816764401893427e-07,6.751189381817795e-08,6.986902720318154e-09,7.88768607129414e-05,7.282834814041008e-05,1.603227592801241e-08,4.4578603459790055e-12,7.348589106687734e-05,3.914478782045894e-08,2.3635952496199398e-07,2.3785180563907973e-07,2.367363039852053e-07,2.63206475487816e-07,0.0,2.362800516442738e-07,6.006435124033411e-09,-2.570928399577306e-09,58.929999999993015,75.77262878417969
2023-07-24 20:00:00,4.049198157411884e-09,-1.759338572810191e-09,1.6910574040058804e-08,4.233387012111526e-12,2.3550101599338202e-07,4.339273974363396e-06,2.346483208664002e-07,3.039538135565303e-07,3.729891355831538e-08,6.9864590565958435e-09,7.897660154532288e-05,7.287905121159538e-05,1.4642092372325451e-08,4.1798673055197186e-12,7.353857514227106e-05,1.589160518410166e-08,2.3566878541471133e-07,2.378143381410383e-07,2.3550099688201535e-07,2.611473809940205e-07,0.0,2.3380804393065304e-07,5.807260984644434e-09,-2.6704694279361893e-09,26.85000000000582,148.97360229492188
